time,user_id,user_name,gift_name,gift_count,diamond_total,grade,fans_club
15:40:27,1011142162655447,🔥锋✨火🔥,鲜花,1,10,[等级32],
15:40:27,85313019993,赶海🍂,PK宝箱,1,600,[等级37],
15:40:27,109756252829,菊儿,跑车,1,1200,[等级39],[粉丝团 Lv17]
15:40:28,171141161038315,海阔山遥,爱的纸鹤,1,99,[等级38],[粉丝团 Lv14]
15:40:28,85313019993,赶海🍂,PK宝箱,2,1200,[等级37],
15:40:29,109756252829,菊儿,粉丝团灯牌,1,1,[等级39],[粉丝团 Lv17]
15:40:30,7405603183680259131,白泽💦,私人飞机,1,3000,[等级57],
15:40:31,102200750437,🌾自强不息🌾,小心心,1,1,[等级36],
15:40:32,109756252829,菊儿,为你闪耀,1,9,[等级39],[粉丝团 Lv17]
15:40:34,4345714114568445,南玖,小心心,1,1,[等级12],[粉丝团 Lv3]
15:40:34,102200750437,🌾自强不息🌾,小心心,1,1,[等级36],
15:40:34,109756252829,菊儿,为你闪耀,1,9,[等级39],[粉丝团 Lv17]
15:40:36,4345714114568445,南玖,小心心,1,1,[等级12],[粉丝团 Lv3]
